AN,ASOCIATIE,DETALIU,SCOP PROIECT,X 1,Y 1,CONTINENT,STAT,DIFERENTA,SUMA APROBATA,SUMA DECONTATA
1/1/2017,"Publicatia Periodica ""Ziarul National"" SRL","Propaganda rusa, pericol pentru cel de-al doilea stat romanesc","Media, informativ (impact politic)",0.599980281,-0.004864348,Europa,Republica Moldova,-0.020000000,62000,61999.98
1/1/2017,"Publicatia Periodica ""Ziarul National"" SRL","Propaganda rusa, pericol pentru cel de-al doilea stat romanesc","Media, informativ (impact politic)",0.806640089,-0.006539845,Europa,Republica Moldova,-0.020000000,62000,61999.98
1/1/2020,Organizatia publica regionala Societatea jurnalistilor romani independenti din regiunea Cernauti,Sustinerea portalului online 'Zorile Bucovinei',"Media, informativ (impact politic)",0.599921127,-0.009728377,Europa,Ucraina,-16.560000000,38225,38208.44
1/1/2020,Organizatia publica regionala Societatea jurnalistilor romani independenti din regiunea Cernauti,Sustinerea portalului online 'Zorile Bucovinei',"Media, informativ (impact politic)",0.727265851,-0.011793411,Europa,Ucraina,-16.560000000,38225,38208.44
1/1/2020,Teiamedia SL,Radio Romanul,"Media, informativ",0.599822541,-0.014591766,Europa,Spania,-8373,73725,65352
1/1/2020,Teiamedia SL,Radio Romanul,"Media, informativ",0.817598111,-0.019889550,Europa,Spania,-8373,73725,65352
1/1/2017,Teiamedia SL,Proiectul Radio Romanul,"Media, informativ",0.599684529,-0.019454196,Europa,Spania,-0.050000000,88000,87999.95
1/1/2017,Teiamedia SL,Proiectul Radio Romanul,"Media, informativ",0.892863465,-0.028965131,Europa,Spania,-0.050000000,88000,87999.95
1/1/2015,Teiamedia SL,Proiectul Radio Romanul,"Media, informativ",0.599507101,-0.024315347,Europa,Spania,,,41600
1/1/2015,Teiamedia SL,Proiectul Radio Romanul,"Media, informativ",0.738059853,-0.029934894,Europa,Spania,,,41600
1/1/2018,Teiamedia SL,Proiect Radio Romanul,"Media, informativ",0.599290268,-0.029174900,Europa,Spania,0,90000,90000
1/1/2018,Teiamedia SL,Proiect Radio Romanul,"Media, informativ",0.898935402,-0.043762350,Europa,Spania,0,90000,90000
1/1/2015,SRL EVZ Online,"Realizarea si difuzarea cotidianului de limba romana Evenimentul Zilei , editia de Moldova","Media, informativ",0.599034045,-0.034032536,Europa,Republica Moldova,,,47186
1/1/2015,SRL EVZ Online,"Realizarea si difuzarea cotidianului de limba romana Evenimentul Zilei , editia de Moldova","Media, informativ",0.756067491,-0.042953976,Europa,Republica Moldova,,,47186
1/1/2019,Societatea romana de televiziune TVR International,Generatia urmatoare,"Media, informativ",0.598738448,-0.038887934,Europa,Romania,-43193.65,67968,24774.35
1/1/2019,Societatea romana de televiziune TVR International,Generatia urmatoare,"Media, informativ",0.681145980,-0.044240286,Europa,Romania,-43193.65,67968,24774.35
1/1/2020,Societatea Romana de Radiodifuziune,Romanii de pretutindeni,"Media, informativ",0.598403496,-0.043740777,Europa,Romania,0,15000,15000
1/1/2020,Societatea Romana de Radiodifuziune,Romanii de pretutindeni,"Media, informativ",0.648270454,-0.047385841,Europa,Romania,0,15000,15000
1/1/2015,Societatea pentru cultura si literatura romana in Bucovina (SCLRB),"Editarea revistei Mesager Bucovinean publicatie trimestriala pentru Bucovinenii de pretutindeni, cu public tinta comunitatea romaneasca din Ucraina","Media, informativ",0.598029213,-0.048590744,Europa,Romania,,,23560
1/1/2015,Societatea pentru cultura si literatura romana in Bucovina (SCLRB),"Editarea revistei Mesager Bucovinean publicatie trimestriala pentru Bucovinenii de pretutindeni, cu public tinta comunitatea romaneasca din Ucraina","Media, informativ",0.676304592,-0.054950733,Europa,Romania,,,23560
